ID,Name,Type,Era,Parents,Trigger,Principle,Tech_Make,Tech_Use
DIG-11,COMPILER,TOOL,DIGITAL,[DIG-08;DIG-02;S-10],Translating human code to machine zeros/ones,Abstraction/Parsing,Software Engineering,Programming
DIG-12,OPERATING_SYSTEM,SYSTEM,DIGITAL,[ENV-15;DIG-11;DIG-08],Managing hardware resources for software,Resource Allocation/Scheduling,Coding (C/Assembly),Running Computers
DIG-13,MOUSE_INTERFACE,MACHINE,DIGITAL,[ENV-10;ELEC-10;IND-23],Hand movement controls screen cursor,X-Y Mapping,Encoding,Human-Computer Interaction
DIG-14,GUI_WINDOWS,METHOD,DIGITAL,[ENV-15;DIG-13;DIG-12],Visual metaphors (Desktop/Files) instead of text,Visual Abstraction,Raster Graphics,Mass Adoption of PCs
DIG-15,LASER_DIODE,COMPONENT,DIGITAL,[ENV-13;SCI-18;DIG-07],Semiconductor emits coherent light,Stimulated Emission,Doping,Fiber Optics/CD/DVD
DIG-16,OPTICAL_FIBER,INFRASTRUCTURE,DIGITAL,[ENV-12;PRIM-28;SCI-02],Light carries data through glass strands,Total Internal Reflection,Glass Drawing,Internet Backbone
DIG-17,MODEM,MACHINE,DIGITAL,[ENV-10;ELEC-10;DIG-02],Digital signals sent over analog phone lines,Modulation/Demodulation,Signal Processing,Early Internet
DIG-18,ETHERNET,INFRASTRUCTURE,DIGITAL,[ENV-10;ELEC-14;DIG-02],Standard for connecting computers locally,Packet Collision Detection,Cabling/Protocols,LAN/Office Networks
DIG-19,ARPANET,INFRASTRUCTURE,DIGITAL,[ENV-14;ELEC-10;DIG-08],Packet switching connects remote computers,Decentralization/Packet Switching,Networking,Military/Science Comms
DIG-20,TCP_IP,STANDARD,DIGITAL,[ENV-15;DIG-19;S-05],Universal language for networks to talk,Handshake Protocol,Standardization,Global Internet
DIG-21,EMAIL,METHOD,DIGITAL,[ENV-15;DIG-19],Digital letters sent instantly,Asynchronous Comms,Server-Client,Communication
DIG-22,DNS_SYSTEM,INFRASTRUCTURE,DIGITAL,[ENV-14;DIG-20;IND-43],Phonebook for the internet (IP -> Name),Hierarchical Database,Distributed Lookup,Web Navigation
DIG-23,WORLD_WIDE_WEB,INFRASTRUCTURE,DIGITAL,[ENV-15;DIG-20;DIG-14],Hypertext links documents globally,Hyperlinking/HTTP,HTML,Information Access
DIG-24,SEARCH_ENGINE,TOOL,DIGITAL,[ENV-14;DIG-23;IND-43],Indexing the chaos of the Web,PageRank/Graph Theory,Algorithm,Finding Knowledge
DIG-25,RSA_ENCRYPTION,METHOD,DIGITAL,[ENV-SCI-04;SCI-05;DIG-02],Public/Private keys secure data,Prime Number Factorization,Cryptography,Secure Commerce/Privacy
DIG-26,CELLULAR_NETWORK,INFRASTRUCTURE,DIGITAL,[ENV-SITE-B;ELEC-12;DIG-08],Hexagonal zones allow frequency reuse,Radio Handover,Tower Grid,Mobile Phones
DIG-27,GPS_SATELLITE,MACHINE,DIGITAL,[ENV-13;SCI-17;ELEC-12],Time dilation correction allows precise location,Relativity/Triangulation,Orbital Mechanics,Navigation
DIG-28,CCD_SENSOR,COMPONENT,DIGITAL,[ENV-13;SCI-18;DIG-05],Silicon chip converts light to digital pixels,Photoelectric Effect,Lithography,Digital Cameras/Telescopes
DIG-29,LCD_SCREEN,COMPONENT,DIGITAL,[ENV-13;ELEC-06;MAT-01],Liquid crystals block light when charged,Polarization,Sandwiching,Laptops/Monitors
DIG-30,FLASH_MEMORY,COMPONENT,DIGITAL,[ENV-13;DIG-05;SCI-18],Trapping electrons in floating gate (No moving parts),Quantum Tunneling,Lithography,USB/SSD/Phones
DIG-31,LITHIUM_ION_BATTERY,COMPONENT,DIGITAL,[ENV-12;ELEC-02;SCI-09],Lightweight reversible chemical storage,Intercalation,Electrochemistry,Mobile Devices/EVs
DIG-32,SMARTPHONE,MACHINE,DIGITAL,[ENV-11;DIG-08;DIG-26],Computer + Radio + Touchscreen in pocket,Convergence,Miniaturization,Mobile Connection
DIG-33,CAPACITIVE_TOUCH,INTERFACE,DIGITAL,[ENV-13;ELEC-01;DIG-29],Finger disrupts electrical field on glass,Capacitance Sensing,Grid Matrix,Multi-touch/Gestures
DIG-34,APP_STORE,SOCIAL_ARTIFACT,DIGITAL,[ENV-14;DIG-32;DIG-25],Centralized market for software distribution,Platform Economy,Digital Rights Mgmt,Software Economy
DIG-35,WIFI,INFRASTRUCTURE,DIGITAL,[ENV-10;ELEC-12;DIG-18],High-speed local wireless data,Spread Spectrum,Radio Protocol,Wireless Internet
DIG-36,BLUETOOTH,STANDARD,DIGITAL,[ENV-10;ELEC-12;DIG-08],Short-range low-power device connection,Frequency Hopping,Protocol,Headphones/IoT
DIG-37,CLOUD_COMPUTING,INFRASTRUCTURE,DIGITAL,[ENV-14;DIG-23;DIG-10],Renting computing power over the net,Virtualization/Economies of Scale,Data Centers,SaaS/Netflix
DIG-38,OPEN_SOURCE,SOCIAL_CONSTRUCT,DIGITAL,[ENV-15;DIG-11],Code shared freely for improvement,Collaborative Development,Git/Version Control,Linux/Android/Web
DIG-39,SOCIAL_NETWORK,PLATFORM,DIGITAL,[ENV-14;DIG-23;SCI-14],Graph of human connections online,Network Effect,Database/Graph Theory,Communication/Influence
DIG-40,BIG_DATA,METHOD,DIGITAL,[ENV-14;DIG-37;DIG-10],Analyzing datasets too large for one computer,MapReduce/Parallelism,Statistics,Targeted Ads/Insights
DIG-41,GPU,COMPONENT,DIGITAL,[ENV-13;DIG-04;ELEC-19],Parallel processing for graphics (and later AI),SIMD/Parallelism,VLSI,Gaming/AI Training
DIG-42,NEURAL_NETWORK,METHOD,DIGITAL,[ENV-15;SCI-14;SCI-05],Software mimicking brain neurons learns from data,Backpropagation,Matrix Multiplication,Pattern Recognition
DIG-43,DEEP_LEARNING,METHOD,DIGITAL,[ENV-14;DIG-42;DIG-41],Many-layered networks find complex patterns,Gradient Descent,High Compute,Computer Vision/Speech
DIG-44,TRANSFORMER_ARCH,METHOD,DIGITAL,[ENV-15;DIG-43;DIG-02],Attention mechanism predicts next token contextually,Self-Attention,Matrix Math,LLM/Generative AI
DIG-45,CNC_MACHINE,MACHINE,DIGITAL,[ENV-08;IND-06;DIG-08],Computer controls cutting tools precisely,G-Code/Automation,Servomotors,Precision Manufacturing
DIG-46,3D_PRINTING,MACHINE,DIGITAL,[ENV-10;DIG-45;MAT-08],Building objects layer by layer,Additive Manufacturing,Extrusion/Sintering,Prototyping/Custom Parts
DIG-47,MEMS_SENSOR,COMPONENT,DIGITAL,[ENV-13;DIG-04;IND-48],Micro-machines etched on silicon (Accelerometer),Micro-machining,Etching,Screen Rotation/Airbags
DIG-48,DRONE_QUADCOPTER,MACHINE,DIGITAL,[ENV-10;DIG-47;DIG-31],Stable flight via computer adjustment of 4 props,Feedback Loop/PID Control,Brushless Motors,Aerial Photography/War
DIG-49,INDUSTRIAL_ROBOT,MACHINE,DIGITAL,[ENV-11;DIG-45;IND-51],Programmable arm for repetitive tasks,Kinematics,Servos/Hydraulics,Car Assembly
DIG-50,VIRTUAL_REALITY,MACHINE,DIGITAL,[ENV-15;DIG-29;DIG-47],Stereo screens + Motion tracking trick brain,Stereoscopy/Latency reduction,Optics/Rendering,Training/Gaming
DIG-51,BLOCKCHAIN,SOCIAL_ARTIFACT,DIGITAL,[ENV-14;DIG-89;DIG-25],Distributed ledger without central authority,Cryptography/Consensus,Hashing,Crypto/Smart Contracts
DIG-52,SMART_CONTRACT,METHOD,DIGITAL,[ENV-15;DIG-51;DIG-06],Code that executes automatically when conditions met,Trustless Execution,Logic,DeFi/DAO
DIG-53,SOLAR_PV_CELL,COMPONENT,DIGITAL,[ENV-13;DIG-01;SCI-18],Light knocks electrons off silicon,Photovoltaic Effect,Doping,Renewable Energy
DIG-54,WIND_TURBINE_MOD,MACHINE,DIGITAL,[ENV-SITE-B;PRIM-37;AV-01],Aerodynamic blades + Generator + Grid Sync,Aerodynamics/Induction,Composites,Green Energy
DIG-55,LED_LIGHTING,COMPONENT,DIGITAL,[ENV-13;DIG-15;SCI-18],Electroluminescence is 90% efficient,Quantum Bandgap,Semiconductors,Efficient Lighting/Screens
DIG-56,OLED_SCREEN,COMPONENT,DIGITAL,[ENV-13;DIG-55;MAT-01],Organic pixels emit their own light,Electroluminescence,Printing,Flexible Screens/Phones
DIG-57,CRISPR,TOOL,DIGITAL,[ENV-16;SCI-14;SCI-12],Programmable gene editing using bacterial defense,DNA Targeting/Cas9,Bio-Engineering,Medicine/GMO
DIG-58,MRNA_VACCINE,INVENTION,DIGITAL,[ENV-16;DIG-57;DIG-40],Instruction code for cells to make spike protein,Genetic Coding,Lipid Nanoparticles,Pandemic Response
DIG-59,STREAMING_VIDEO,METHOD,DIGITAL,[ENV-14;DIG-23;DIG-02],Buffering data allows instant play,Compression/Bandwidth,Codecs,Netflix/YouTube
DIG-60,E_COMMERCE,SOCIAL_ARTIFACT,DIGITAL,[ENV-14;DIG-23;DIG-25],Buying/Selling over network,Secure Transaction,Logistics,Amazon/Global Trade
DIG-61,RIDE_SHARING,PLATFORM,DIGITAL,[ENV-14;DIG-32;DIG-27],Matching drivers and riders via algo,Gig Economy,Geospatial Matching,Uber/Transport
DIG-62,IOT_SENSOR,MACHINE,DIGITAL,[ENV-10;DIG-35;DIG-47],Everyday objects connected to net,Telemetry,Low Power Radio,Smart Home/Industry 4.0
DIG-63,5G_NETWORK,INFRASTRUCTURE,DIGITAL,[ENV-SITE-B;DIG-26;ELEC-12],High freq waves for massive bandwidth/low latency,Beamforming/MIMO,Phased Arrays,Real-time Automation
DIG-64,QUANTUM_COMPUTER,MACHINE,DIGITAL,[ENV-13;SCI-18;DIG-02],Qubits exist in superposition to solve specific math,Superposition/Entanglement,Cryogenics,Breaking Encryption/Material Sim
DIG-65,BCI_INTERFACE,MACHINE,DIGITAL,[ENV-16;MED-07;DIG-42],Direct link between brain signals and computer,Neural Decoding,Electrodes,Prosthetics/Cyborgs
DIG-66,REUSABLE_ROCKET,MACHINE,DIGITAL,[ENV-SITE-B;AV-04;DIG-45],Rocket lands vertically to fly again,Thrust Vectoring/Guidance,Materials,Cheap Space Access
DIG-67,DIGITAL_TWIN,METHOD,DIGITAL,[ENV-SCI-05;DIG-45;DIG-40],Virtual replica of physical system for simulation,Simulation,Sensors/Data,Predictive Maintenance
DIG-68,VPN,METHOD,DIGITAL,[ENV-15;DIG-20;DIG-25],Encrypted tunnel over public net,Tunneling,Encryption,Privacy/Remote Work
DIG-69,CONTAINERIZATION,METHOD,DIGITAL,[ENV-15;IND-43;DIG-12],Software packaged with dependencies (Docker),Standardization,Virtualization,Cloud Deployment
DIG-70,GIT_VERSION_CONTROL,TOOL,DIGITAL,[ENV-15;DIG-02;S-10],Tracking changes in code history (Merkle Tree),Directed Acyclic Graph,Hashing,Collaboration/Malachite
DIG-71,CUDA_GPGPU,METHOD,DIGITAL,[ENV-15;DIG-41;DIG-11],Using graphics chips for general math/physics,Parallel Computing,Software Platform,AI Training/Simulation
DIG-73,HBM_MEMORY,COMPONENT,DIGITAL,[ENV-13;DIG-09;DIG-04],Stacked memory chips for massive bandwidth,3D Stacking,Through-Silicon Vias,AI/GPU
DIG-74,URI_URL,STANDARD,DIGITAL,[ENV-15;DIG-20;S-10],Unique address for every resource on the network,Global Namespace,Naming Convention,Linking Knowledge
DIG-75,WEB_BROWSER,TOOL,DIGITAL,[ENV-15;DIG-09;DIG-14],Visual interface to navigate the Web,Rendering Engine,Mosaic/Chrome,Access to Information
DIG-76,SEMANTIC_WEB,METHOD,DIGITAL,[ENV-15;DIG-09;DIG-02],Structuring data so machines can understand relationships (RDF/Graph),Linked Data,Ontology,Knowledge Graphs/Malachite
DIG-77,API_INTERFACE,STANDARD,DIGITAL,[ENV-15;DIG-20;DIG-11],Standard way for software to talk to software (REST/JSON),Abstraction/Interoperability,Protocol Design,SaaS/Integration
DIG-78,HYPERTEXT,METHOD,DIGITAL,[ENV-15;PRIM-23;DIG-06],Text that links to other text non-linearly,Associative Memory,Linking,Wiki/Web Structure
DIG-79,KERNEL,SYSTEM,DIGITAL,[ENV-15;DIG-08;DIG-09],The core program managing CPU/Memory/Devices,Resource Arbitration,Interrupts/Scheduling,Linux/NT/Darwin
DIG-80,CLI_SHELL,TOOL,DIGITAL,[ENV-15;DIG-79;DIG-11],Text-based interface to the OS,Scripting/Piping,Bash/PowerShell,Server Admin/DevOps
DIG-81,COPYLEFT_LICENSE,SOCIAL_ARTIFACT,DIGITAL,[ENV-SCI-02;S-10;SOC-17],Legal hack ensuring code remains free (GPL),Viral Licensing,Law/Copyright,Linux/Android/AI Frameworks
DIG-82,UNIX_PHILOSOPHY,METHOD,DIGITAL,[ENV-15;DIG-12;S-06],Small programs connected by data pipes,Modularity/Composability,Piping/Streams,Microservices/Data Pipelines
DIG-83,VIRTUAL_MACHINE,METHOD,DIGITAL,[ENV-15;DIG-79;DIG-06],Emulating a computer inside a computer,Abstraction/Isolation,Hypervisor,Cloud Computing/Java
DIG-84,BACKPROPAGATION,METHOD,DIGITAL,[ENV-SCI-05;SCI-05;DIG-02],Algorithm to minimize error by adjusting weights backwards,Gradient Descent,Calculus,Training Neural Nets
DIG-85,REINFORCEMENT_LEARNING,METHOD,DIGITAL,[ENV-SCI-05;DIG-02;SCI-05],Agent learns by trial and error to maximize reward,Markov Decision Process,Game Theory,AlphaGo/Robotics
DIG-86,TRAINING_DATASET,RESOURCE,DIGITAL,[ENV-14;DIG-23;DIG-28],Massive collections of labeled examples (ImageNet),Pattern Recognition,Crowdsourcing,Fuel for AI
DIG-87,SCIENTIFIC_AI,METHOD,DIGITAL,[ENV-SCI-05;DIG-43;DIG-41],AI solving fundamental science problems (AlphaFold),Geometric Deep Learning,Simulation,Biology/Physics/Materials
DIG-88,GENERATIVE_ADVERSARIAL_NET,METHOD,DIGITAL,[ENV-SCI-05;DIG-43;S-10],Two networks compete (Creator vs Critic) to make realistic data,Game Theory,Deep Learning,Deepfakes/Art/Design
DIG-89,DISTRIBUTED_CONSENSUS,METHOD,DIGITAL,[ENV-14;DIG-19;S-10],Solving Byzantine Generals Problem (PoW/PoS),Game Theory/Incentives,Mining/Staking,Bitcoin/Trustless Systems
DIG-90,DAO_ORG,SOCIAL_ARTIFACT,DIGITAL,[ENV-15;DIG-52;SOC-20],Organization governed by code not managers,Voting/Smart Contracts,Governance,DeFi/Community Mgmt
DIG-91,ZERO_KNOWLEDGE_PROOF,METHOD,DIGITAL,[ENV-SCI-04;DIG-25;SCI-05],Proving you know a secret without revealing it,Advanced Math,Cryptography,Privacy/Scaling
DIG-92,DIGITAL_ASSET_TOKEN,SOCIAL_ARTIFACT,DIGITAL,[ENV-14;DIG-51;DIG-25],Making digital data scarce and ownable (NFT/Coins),Digital Scarcity,Ledger Entry,Digital Economy/Metaverse
DIG-93,DIGITAL_WALLET,TOOL,DIGITAL,[ENV-15;DIG-25;DIG-06],Self-sovereign identity and bank in software,Public Key Infrastructure,Key Management,Login/Payments
