ID,Name,Type,Time_Period,Logic,Parents,Trigger,Principle,Tech_Make,Tech_Use
SCI-09,ATOMIC_THEORY,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-07;SCI-01],Matter is made of discrete particles,Discreteness,Math/Chemistry,Modern Chemistry
SCI-10,THERMODYNAMICS_1ST,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[IND-05;SCI-06],Energy cannot be created or destroyed,Conservation of Energy,Math,Efficiency Calculation
SCI-11,ELECTROMAGNETIC_INDUCTION,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[ELEC-03;SCI-01],Moving magnet creates current,Field Interaction,Experimentation,Generators/Transformers
SCI-12,GERM_THEORY,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-04;IND-12],Microorganisms cause rot and disease,Microbiology,Microscopy,Sterilization/Antibiotics
SCI-13,PERIODIC_TABLE,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-09;PRIM-14],Elements arranged by atomic weight show patterns,Periodicity,Classification,Material Science
SCI-14,MENDELIAN_GENETICS,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-01;PRIM-17;PRIM-31],Traits are inherited via discrete units,Statistical Probability,Breeding,Modern Biology
SCI-15,NITROGEN_CYCLE,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-01;IND-18;S-09],Bacteria fix nitrogen; Legumes restore soil,Chemical Cycle,Crop Rotation,Sustainable Agriculture
IND-01,PENDULUM_CLOCK,MACHINE,SCIENTIFIC,DETERMINISTIC,[SCI-06;PRIM-32],Gravity swings weight at constant time,Harmonic Oscillation,Precision Mechanics,Timekeeping
IND-02,SEXTANT,TOOL,SCIENTIFIC,DETERMINISTIC,[SCI-02;PRIM-55;SCI-06],Mirrors measure angle of stars,Triangulation,Precision optics,Global Navigation
IND-03,COAL_MINING,INDUSTRY,SCIENTIFIC,DETERMINISTIC,[PRIM-18;PRIM-52],Wood is scarce; Black rock burns hotter,Energy Density,Digging/Shafts,Fuel Source
IND-04,STEAM_PUMP,MACHINE,SCIENTIFIC,DETERMINISTIC,[SCI-08;IND-03;S-08],Vacuum from condensing steam lifts water,Phase Change/Vacuum,Casting/Boiling,Draining Mines
IND-05,STEAM_ENGINE_WATT,MACHINE,SCIENTIFIC,DETERMINISTIC,[ENV-08;SCI-07],Piston pushed by expanding steam,Expansion Work,Precision Boring,Factory Power
IND-06,LATHE_METAL,MACHINE,SCIENTIFIC,DETERMINISTIC,[ENV-04;PRIM-19;PRIM-27],Spinning metal cut by hard tool,Rotational Cutting,Machining,Making Engines
IND-07,LOCOMOTIVE,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-05;PRIM-42;IND-36],Steam engine on wheels on rails,High Pressure Steam,Boilermaking,Land Transport
IND-08,STEAMSHIP,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-05;PRIM-51],Steam engine turns paddle/propeller,Propulsion,Shipbuilding,Global Trade
IND-09,SPINNING_JENNY,MACHINE,SCIENTIFIC,DETERMINISTIC,[PRIM-06;PRIM-32],One wheel spins 8+ threads,Mechanization,Carpentry/Gearing,Textile Industry
IND-10,COTTON_GIN,MACHINE,SCIENTIFIC,DETERMINISTIC,[PRIM-32;S-01],Teeth pull fiber through mesh,Mechanical Separation,Carpentry,Textile Industry
IND-11,JACQUARD_LOOM,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-09;PRIM-06;PRIM-39],Punch cards control thread patterns,Programmability/Binary Logic,Mechanics,Textiles/Computing Ancestor
IND-12,CANNED_FOOD,INVENTION,SCIENTIFIC,DETERMINISTIC,[PRIM-28;SCI-01],Boiled food sealed in glass/tin,Pasteurization/Vacuum,Sealing,Army Logistics
IND-13,VACCINATION,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-01;PRIM-17],Cowpox protects against Smallpox,Immunology,Inoculation,Public Health
IND-14,ANESTHESIA,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[SCI-01;IND-18],Ether/Chloroform blocks pain,Nervous System Suppression,Chemistry,Surgery
IND-15,PORTLAND_CEMENT,MATERIAL,SCIENTIFIC,DETERMINISTIC,[PRIM-49;PRIM-10],Clay+Lime fired at high temp,Chemical Bonding,Kiln Firing,Modern Construction
IND-16,DYNAMITE,INVENTION,SCIENTIFIC,DETERMINISTIC,[ENV-07;PRIM-24;SCI-01],Stabilized explosive (Nitroglycerin + Clay),Chemical Stability,Mixing,Mining/Tunneling
IND-17,RUBBER_VULCANIZED,MATERIAL,SCIENTIFIC,DETERMINISTIC,[S-08;SCI-01],Sulfur + Heat makes rubber durable,Polymer Cross-linking,Heating,Tires/Seals/Insulation
IND-18,INDUSTRIAL_ACID,MATERIAL,SCIENTIFIC,DETERMINISTIC,[ENV-07;SCI-01;IND-03],Sulfuric Acid / Soda Ash production,Chemical Synthesis,Industrial Chemistry,Textiles/Soap
IND-19,STEEL_BESSEMER,PROCESS,SCIENTIFIC,DETERMINISTIC,[PRIM-26;SCI-01],Air blown through iron burns off carbon,Oxidation,Industrial Smelting,Skyscrapers/Rails
IND-20,WOOD_PULP_PAPER,MATERIAL,SCIENTIFIC,DETERMINISTIC,[IND-18;IND-05],Acid breaks down wood into fiber,Chemical Pulping,Industrial Chemistry,Mass Media
IND-21,PHOTOGRAPHY,INVENTION,SCIENTIFIC,DETERMINISTIC,[ENV-07;SCI-04],Light darkens silver chemicals,Photochemistry,Exposure/Developing,Documentation
IND-22,SYNTHETIC_DYE,MATERIAL,SCIENTIFIC,DETERMINISTIC,[IND-03;IND-18;SCI-09],Coal tar waste turned into color,Organic Synthesis,Chemistry,Pharma Ancestor
IND-23,BALL_BEARING,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-19;IND-06;S-04],Hardened steel balls reduce friction,Rolling Friction,Precision Grinding,Machinery/Bicycles
IND-24,INTERNAL_COMBUSTION,MACHINE,SCIENTIFIC,DETERMINISTIC,[ENV-08;SCI-07;IND-45],Exploding gas pushes piston directly,Thermodynamics/Otto Cycle,Precision Casting,Automobiles
IND-25,REFRIGERATION,MACHINE,SCIENTIFIC,DETERMINISTIC,[SCI-07;IND-04;SCI-08],Compressing and expanding gas removes heat,Thermodynamics,Pumping,Food Logistics
IND-26,TYPEWRITER,MACHINE,SCIENTIFIC,DETERMINISTIC,[PRIM-39;IND-43;PRIM-53],Keys strike inked ribbon,Standardization,Fine Mechanics,Business Efficiency
IND-27,BICYCLE,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-23;IND-17;IND-19;IND-43],Chain drive + Pneumatic tires,Human Power Efficiency,Welding,Personal Transport
IND-28,FERTILIZER_CHEM,MATERIAL,SCIENTIFIC,DETERMINISTIC,[IND-18;PRIM-10],Dissolving bones/rocks in acid,Chemical Nutrition,Mixing,Industrial Agriculture
IND-29,SLIDE_RULE,TOOL,SCIENTIFIC,DETERMINISTIC,[SCI-05;PRIM-55],Sliding scales for math,Logarithms,Calibration,Engineering
IND-30,REINFORCED_CONCRETE,MATERIAL,SCIENTIFIC,DETERMINISTIC,[IND-15;IND-19;SCI-06],Steel bars inside concrete,Composite Material,Casting,Skyscrapers/Bridges
IND-31,SANITATION_SYSTEM,INFRASTRUCTURE,SCIENTIFIC,DETERMINISTIC,[IND-04;SCI-12;PRIM-35],Pumps and pipes remove waste,Fluid Dynamics,Civil Engineering,Urban Density
IND-32,GAS_LIGHTING,INFRASTRUCTURE,SCIENTIFIC,DETERMINISTIC,[IND-03;SCI-07;PRIM-25],Coal gas piped to lamps,Pyrolysis,Gasworks,Public Safety
IND-33,ELEVATOR_SAFETY,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-19;SCI-06;S-06],Platform with automatic brake,Mechanics/Safety,Steel Frame,Vertical City
IND-34,CENTRAL_HEATING,INFRASTRUCTURE,SCIENTIFIC,DETERMINISTIC,[IND-05;SCI-10],Boiler steam circulated in pipes,Thermodynamics,Plumbing,Climate Control
IND-35,BARBED_WIRE,INVENTION,SCIENTIFIC,DETERMINISTIC,[IND-19;IND-38],Steel wire with points,Area Denial,Drawing wire,Fencing/War
IND-36,ROLLING_MILL,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-05;IND-19;S-04],Red-hot steel passed through rollers,Plastic Deformation,Mechanization,Rails/Beams
IND-37,GALVANIZATION,PROCESS,SCIENTIFIC,DETERMINISTIC,[ELEC-02;SCI-01;IND-18],Zinc coating protects steel,Electrochemical Protection,Dipping,Wires/Bridges
IND-38,WIRE_DRAWING,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-05;IND-19;S-01],Pulling metal through holes,Cold Working,Mechanization,Cables/Wires
IND-39,TOOL_STEEL,ALLOY,SCIENTIFIC,DETERMINISTIC,[IND-19;SCI-13;SCI-01],Tungsten/Chrome added to steel,Alloying,Metallurgy,Cutting Tools
IND-40,MECHANICAL_REAPER,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-06;IND-19;PRIM-32],Blades cut grain automatically,Mechanization,Assembly,Mass Agriculture
IND-41,PASTEURIZATION,PROCESS,SCIENTIFIC,DETERMINISTIC,[SCI-12;SCI-10],Heating kills pathogens,Thermal Sterilization,Heating,Public Health
IND-42,STEAM_TRACTOR,MACHINE,SCIENTIFIC,DETERMINISTIC,[IND-05;IND-07;PRIM-18],Steam engine pulls plows,Traction,Boilermaking,Industrial Farming
IND-43,INTERCHANGEABLE_PARTS,METHOD,SCIENTIFIC,DETERMINISTIC,[IND-06;PRIM-55;SCI-01],Identical components for mass assembly,Standardization,Metrology,Mass Production/Repair
IND-44,ELECTRICAL_INSULATION,MATERIAL,SCIENTIFIC,DETERMINISTIC,[IND-17;SCI-01],Rubber coating on wires,Dielectric Protection,Extrusion,Safe Wiring/Undersea Cables
IND-45,OIL_REFINING,PROCESS,SCIENTIFIC,DETERMINISTIC,[IND-03;SCI-07],Crude oil separated by boiling points,Fractional Distillation,Chemical Engineering,Fuel (Kerosene/Petrol)
SOC-01,JOINT_STOCK_CORP,SOCIAL_CONSTRUCT,SCIENTIFIC,DETERMINISTIC,[SCI-05;PRIM-44;PRIM-23],Shared ownership to fund massive projects,Risk Distribution,Law/Finance,Capitalism/Industrialization
ELEC-01,LEYDEN_JAR,TOOL,SCIENTIFIC,DETERMINISTIC,[PRIM-28;PRIM-14],Glass jar stores static charge,Capacitance,Friction,Electricity Storage
ELEC-02,BATTERY_VOLTA,INVENTION,SCIENTIFIC,DETERMINISTIC,[PRIM-14;SCI-01;IND-18],Stacked metals + Acid create flow,Chemical Potential -> Electrical,Stacking,Constant Current
ELEC-03,ELECTROMAGNET,DISCOVERY,SCIENTIFIC,DETERMINISTIC,[ELEC-02;PRIM-14;IND-44],Current in coil creates magnet,Electromagnetism,Coiling wire,Motors/Relays
ELEC-04,TELEGRAPH,MACHINE,SCIENTIFIC,DETERMINISTIC,[ELEC-03;PRIM-30;IND-38;IND-44],Electricity sends clicks over wire,Binary Encoding,Wiring,Instant Communication
ELEC-05,MORSE_CODE,SYMBOL,SCIENTIFIC,DETERMINISTIC,[ELEC-04;PRIM-30],Dots and dashes represent alphabet,Binary Logic,Encoding,Data Transmission
ELEC-06,DYNAMO,MACHINE,SCIENTIFIC,DETERMINISTIC,[ELEC-03;SCI-11;PRIM-32;IND-23],Spinning magnet creates current,Induction,Rotation,Power Generation
IND-80,DRAFTING_COMPASS,TOOL,SCIENTIFIC,DETERMINISTIC,[PRIM-02;S-02],Two legs pivot to draw perfect circle,Geometry,Machining,Blueprints/Navigation
IND-81,RULER_SQUARE,TOOL,SCIENTIFIC,DETERMINISTIC,[S-03;PRIM-31],Straight edge with standardized markings,Measurement/Standardization,Carpentry,Engineering
IND-82,GLASS_FLASK,TOOL,SCIENTIFIC,DETERMINISTIC,[PRIM-28;S-08],Transparent vessel withstands heat/chemicals,Inertness,Glassblowing,Chemistry/Alchemy
IND-83,LAB_BURNER,TOOL,SCIENTIFIC,DETERMINISTIC,[IND-32;S-08],Gas flame with adjustable air intake (Bunsen),Combustion Control,Metalworking,Chemistry
IND-84,THERMOMETER,TOOL,SCIENTIFIC,DETERMINISTIC,[PRIM-28;SCI-07;F-02],Liquid expands in tube with heat,Thermal Expansion,Calibration,Chemistry/Medicine
