ID,Name,Description,Level,Parent_Group,Req_Science,Req_Design,Req_Resource,Req_Material,Req_Infrastructure,Req_Process,Req_Artifact,Req_Society
AV-04,JET_ENGINE,Compressor -> Combustion -> Turbine | Newton's 3rd Law,SPECIFIC,NULL,,,,MAT-07,ENV-08;IND-57,,AV-01,
AV-08,RETRACTABLE_GEAR,Wheels fold into fuselage to reduce drag | Drag Reduction,SPECIFIC,NULL,,,,,ENV-11;IND-51,,AV-01,
URB-04,TUNNELING_SHIELD,Protective cylinder for digging through soft soil/water | Pneumatics/Soil Mechanics,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-51;IND-04,,,
MED-06,VENTILATOR_MACHINE,Pumps force air/anesthesia into lungs | Pneumatics/Life Support,SPECIFIC,NULL,,,,,ENV-10;IND-04;IND-59,,,
MED-07,ECG_MONITOR,Amplifies heart's electrical signals onto screen | Bio-Electricity,SPECIFIC,NULL,,,,,ENV-10,,ELEC-11;ELEC-19,
MED-08,ULTRASOUND_SCANNER,High freq sound maps soft tissues | Piezoelectricity/Echo,SPECIFIC,NULL,,,,MAT-03,ENV-10,,ELEC-22,
SCI-22,ELECTRON_MICROSCOPE,Light waves are too big to see viruses/atoms | Wave-Particle Duality/Electron Beam,SPECIFIC,NULL,SCI-18;SCI-08,,,,ENV-10,,ELEC-19,
SCI-27,MASS_SPECTROMETER,Weighing individual molecules to identify them | Lorentz Force,SPECIFIC,NULL,SCI-16;SCI-08,,,,ENV-10,,ELEC-03,
SCI-28,INTERFEROMETER,Measuring distance by counting light waves | Interference Patterns,SPECIFIC,NULL,SCI-02;SCI-18,,,,ENV-10,,,
WAR-03,SUBMARINE,Ship that travels underwater | Buoyancy Control,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-08,,ELEC-02,
PRIM-06,LOOM_FRAME,Holding threads tight makes weaving faster | Tension/Grid,SPECIFIC,NULL,,,,PRIM-03,ENV-02,,,
PRIM-10,KILN,Enclosed fire gets hotter than open fire | Heat Concentration,SPECIFIC,NULL,,,,PRIM-09,ENV-01,,,
PRIM-19,POTTERY_WHEEL,Spinning platform makes rounder pots | Rotational Inertia,SPECIFIC,NULL,,,,,ENV-03;S-04,,,
PRIM-25,BELLOWS,Leather bag pumps air into fire | Oxygen Concentration,SPECIFIC,NULL,,,,PRIM-46,ENV-02,,,
PRIM-32,GEAR,Toothed wheel transmits precise motion | Torque Transmission,SPECIFIC,NULL,,,,PRIM-16,ENV-02,,,
PRIM-33,WATER_WHEEL,River turns axle to power machines | Kinetic Energy,SPECIFIC,NULL,,,,PRIM-32,ENV-SITE-A,,,
PRIM-36,SCREW_PUMP,Inclined plane wrapped on cylinder lifts water | Helical Plane,SPECIFIC,NULL,,,,,ENV-02;S-07,,,
PRIM-37,WINDMILL,Sails turn gears to grind grain | Wind Energy,SPECIFIC,NULL,,,,PRIM-32;PRIM-13,ENV-SITE-A,,,
PRIM-40,PRINTING_PRESS,Screw press prints inked type | Replication,SPECIFIC,NULL,,,,PRIM-39,ENV-02;S-07,,,
PRIM-52,CRANE,Pulleys lift stone | Mechanical Advantage,SPECIFIC,NULL,,,,,ENV-SITE-A;S-06,,,
PRIM-66,WATER_CLOCK,Water drips at constant rate through hole | Flow Rate,SPECIFIC,NULL,,,F-02,PRIM-05;PRIM-55,,,,
SCI-08,VACUUM_PUMP,Removing air creates suction force | Pressure Differential,SPECIFIC,NULL,SCI-07,,,,ENV-08,,,
IND-01,PENDULUM_CLOCK,Gravity swings weight at constant time | Harmonic Oscillation,SPECIFIC,NULL,SCI-06,,,,ENV-08,,,
IND-04,STEAM_PUMP,Vacuum from condensing steam lifts water | Phase Change/Vacuum,SPECIFIC,NULL,SCI-08,,,,ENV-08;IND-03,,,
IND-05,STEAM_ENGINE_WATT,Piston pushed by expanding steam | Expansion Work,SPECIFIC,NULL,SCI-07,,,,ENV-08;IND-04,,,
IND-06,LATHE_METAL,Spinning metal cut by hard tool | Rotational Cutting,SPECIFIC,NULL,,,,PRIM-32,ENV-04,,,
IND-07,LOCOMOTIVE,Steam engine on wheels on rails | High Pressure Steam,SPECIFIC,NULL,,,,,ENV-08;IND-05;IND-36,,,
IND-08,STEAMSHIP,Steam engine turns paddle/propeller | Propulsion,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-05,,,
IND-09,SPINNING_JENNY,One wheel spins 8+ threads | Mechanization,SPECIFIC,NULL,,,,PRIM-32,ENV-02,,,
IND-10,COTTON_GIN,Teeth pull fiber through mesh | Mechanical Separation,SPECIFIC,NULL,,,,PRIM-32,ENV-02,,,
IND-11,JACQUARD_LOOM,Punch cards control thread patterns | Programmability/Binary Logic,SPECIFIC,NULL,,,,PRIM-39,ENV-08;IND-09,,,
IND-23,BALL_BEARING,Hardened steel balls reduce friction | Rolling Friction,SPECIFIC,NULL,,,,,ENV-08;IND-19,,,
IND-24,INTERNAL_COMBUSTION,Exploding gas pushes piston directly | Thermodynamics/Otto Cycle,SPECIFIC,NULL,SCI-07,,,,ENV-08;IND-45,,,
IND-25,REFRIGERATION,Compressing and expanding gas removes heat | Thermodynamics,SPECIFIC,NULL,SCI-07,,,,ENV-08,,,
IND-26,TYPEWRITER,Keys strike inked ribbon | Standardization,SPECIFIC,NULL,,,,PRIM-39,ENV-08,,,
IND-27,BICYCLE,Chain drive + Pneumatic tires | Human Power Efficiency,SPECIFIC,NULL,,,,,ENV-08;IND-23;IND-17,,,
IND-33,ELEVATOR_SAFETY,Platform with automatic brake | Mechanics/Safety,SPECIFIC,NULL,,,,,ENV-SITE-B;IND-19;S-06,,,
IND-36,ROLLING_MILL,Red-hot steel passed through rollers | Plastic Deformation,SPECIFIC,NULL,,,,,ENV-08;IND-05;IND-19,,,
IND-38,WIRE_DRAWING,Pulling metal through holes | Cold Working,SPECIFIC,NULL,,,,,ENV-08;IND-19,,,
IND-40,MECHANICAL_REAPER,Blades cut grain automatically | Mechanization,SPECIFIC,NULL,,,,,ENV-08;IND-06,,,
IND-42,STEAM_TRACTOR,Steam engine pulls plows | Traction,SPECIFIC,NULL,,,,,ENV-08;IND-07,,,
IND-75,FLOW_METER,Need to measure water/gas moving in pipes | Bernoulli Principle/Turbine,SPECIFIC,NULL,SCI-07,,,,ENV-08,,AV-01,
ELEC-04,TELEGRAPH,Electricity sends clicks over wire | Binary Encoding,SPECIFIC,NULL,,,,,ENV-08;IND-38,,ELEC-03,
ELEC-06,DYNAMO,Spinning magnet creates current | Induction,SPECIFIC,NULL,SCI-11,,,,ENV-08,,ELEC-03,
